timeout,multiplier,max_packet,99_packet,95_packet,mean_packet,median_packet,all_hr,main_hr,max_cache,99_cache,95_cache,mean_cache,median_cache
10,,556601.0,552971.0,533633.9,343744.5627766389,357199.0,0.9719670729033084,0.9719670225389059,200.0,200.0,200.0,200.0,200.0
10,,556601.0,552971.0,533633.9,343744.5627766389,357199.0,0.9719670729033084,0.9719670225389059,400.0,400.0,400.0,400.0,400.0
10,,556601.0,552971.0,533633.9,343744.5627766389,357199.0,0.9719670729033084,0.9719670225389059,600.0,600.0,600.0,600.0,600.0
10,,556601.0,552971.0,533633.9,343744.5627766389,357199.0,0.9719670729033084,0.9719670225389059,800.0,800.0,800.0,800.0,800.0
10,,556601.0,552971.0,533633.9,343744.5627766389,357199.0,0.9719670729033084,0.9719670225389059,1000.0,1000.0,1000.0,1000.0,1000.0
10,,556601.0,552971.0,533633.9,343744.5627766389,357199.0,0.9719670729033084,0.9719670225389059,1200.0,1200.0,1200.0,1200.0,1200.0
10,,556601.0,552971.0,533633.9,343744.5627766389,357199.0,0.9719670729033084,0.9719670225389059,1400.0,1400.0,1400.0,1400.0,1400.0
10,,556601.0,552971.0,533633.9,343744.5627766389,357199.0,0.9719670729033084,0.9719670225389059,1600.0,1600.0,1600.0,1600.0,1600.0
30,,556597.0,552705.7899999999,532121.85,341309.8765599804,355626.0,0.971966609362266,0.9719665589966687,200.0,200.0,200.0,200.0,200.0
30,,556597.0,552705.7899999999,532121.85,341309.8765599804,355626.0,0.971966609362266,0.9719665589966687,400.0,400.0,400.0,400.0,400.0
30,,556597.0,552705.7899999999,532121.85,341309.8765599804,355626.0,0.971966609362266,0.9719665589966687,600.0,600.0,600.0,600.0,600.0
30,,556597.0,552705.7899999999,532121.85,341309.8765599804,355626.0,0.971966609362266,0.9719665589966687,800.0,800.0,800.0,800.0,800.0
30,,556597.0,552705.7899999999,532121.85,341309.8765599804,355626.0,0.971966609362266,0.9719665589966687,1000.0,1000.0,1000.0,1000.0,1000.0
30,,556597.0,552705.7899999999,532121.85,341309.8765599804,355626.0,0.971966609362266,0.9719665589966687,1200.0,1200.0,1200.0,1200.0,1200.0
30,,556597.0,552705.7899999999,532121.85,341309.8765599804,355626.0,0.971966609362266,0.9719665589966687,1400.0,1400.0,1400.0,1400.0,1400.0
30,,556597.0,552705.7899999999,532121.85,341309.8765599804,355626.0,0.971966609362266,0.9719665589966687,1600.0,1600.0,1600.0,1600.0,1600.0
50,,556595.0,552599.11,531893.7499999999,340775.37911469163,355070.0,0.9719661509637842,0.9719661005971826,200.0,200.0,200.0,200.0,200.0
50,,556595.0,552599.11,531893.7499999999,340775.37911469163,355070.0,0.9719661509637842,0.9719661005971826,400.0,400.0,400.0,400.0,400.0
50,,556595.0,552599.11,531893.7499999999,340775.37911469163,355070.0,0.9719661509637842,0.9719661005971826,600.0,600.0,600.0,600.0,600.0
50,,556595.0,552599.11,531893.7499999999,340775.37911469163,355070.0,0.9719661509637842,0.9719661005971826,800.0,800.0,800.0,800.0,800.0
50,,556595.0,552599.11,531893.7499999999,340775.37911469163,355070.0,0.9719661509637842,0.9719661005971826,1000.0,1000.0,1000.0,1000.0,1000.0
50,,556595.0,552599.11,531893.7499999999,340775.37911469163,355070.0,0.9719661509637842,0.9719661005971826,1200.0,1200.0,1200.0,1200.0,1200.0
50,,556595.0,552599.11,531893.7499999999,340775.37911469163,355070.0,0.9719661509637842,0.9719661005971826,1400.0,1400.0,1400.0,1400.0,1400.0
50,,556595.0,552599.11,531893.7499999999,340775.37911469163,355070.0,0.9719661509637842,0.9719661005971826,1600.0,1600.0,1600.0,1600.0,1600.0
70,,556601.0,552592.06,531816.5499999999,340579.0367203219,355003.0,0.9719671858519859,0.9719671354877865,200.0,200.0,200.0,200.0,200.0
70,,556601.0,552592.06,531816.5499999999,340579.0367203219,355003.0,0.9719671858519859,0.9719671354877865,400.0,400.0,400.0,400.0,400.0
70,,556601.0,552592.06,531816.5499999999,340579.0367203219,355003.0,0.9719671858519859,0.9719671354877865,600.0,600.0,600.0,600.0,600.0
70,,556601.0,552592.06,531816.5499999999,340579.0367203219,355003.0,0.9719671858519859,0.9719671354877865,800.0,800.0,800.0,800.0,800.0
70,,556601.0,552592.06,531816.5499999999,340579.0367203219,355003.0,0.9719671858519859,0.9719671354877865,1000.0,1000.0,1000.0,1000.0,1000.0
70,,556601.0,552592.06,531816.5499999999,340579.0367203219,355003.0,0.9719671858519859,0.9719671354877865,1200.0,1200.0,1200.0,1200.0,1200.0
70,,556601.0,552592.06,531816.5499999999,340579.0367203219,355003.0,0.9719671858519859,0.9719671354877865,1400.0,1400.0,1400.0,1400.0,1400.0
70,,556601.0,552592.06,531816.5499999999,340579.0367203219,355003.0,0.9719671858519859,0.9719671354877865,1600.0,1600.0,1600.0,1600.0,1600.0
90,,556595.0,552569.2,531781.5,340420.75259247795,354926.0,0.9719661975587908,0.9719661471922727,200.0,200.0,200.0,200.0,200.0
90,,556595.0,552569.2,531781.5,340420.75259247795,354926.0,0.9719661975587908,0.9719661471922727,400.0,400.0,400.0,400.0,400.0
90,,556595.0,552569.2,531781.5,340420.75259247795,354926.0,0.9719661975587908,0.9719661471922727,600.0,600.0,600.0,600.0,600.0
90,,556595.0,552569.2,531781.5,340420.75259247795,354926.0,0.9719661975587908,0.9719661471922727,800.0,800.0,800.0,800.0,800.0
90,,556595.0,552569.2,531781.5,340420.75259247795,354926.0,0.9719661975587908,0.9719661471922727,1000.0,1000.0,1000.0,1000.0,1000.0
90,,556595.0,552569.2,531781.5,340420.75259247795,354926.0,0.9719661975587908,0.9719661471922727,1200.0,1200.0,1200.0,1200.0,1200.0
90,,556595.0,552569.2,531781.5,340420.75259247795,354926.0,0.9719661975587908,0.9719661471922727,1400.0,1400.0,1400.0,1400.0,1400.0
90,,556595.0,552569.2,531781.5,340420.75259247795,354926.0,0.9719661975587908,0.9719661471922727,1600.0,1600.0,1600.0,1600.0,1600.0
110,,556577.0,552554.24,531769.65,340376.50103080977,354861.5,0.9719658969125401,0.9719658465438529,200.0,200.0,200.0,200.0,200.0
110,,556577.0,552554.24,531769.65,340376.50103080977,354861.5,0.9719658969125401,0.9719658465438529,400.0,400.0,400.0,400.0,400.0
110,,556577.0,552554.24,531769.65,340376.50103080977,354861.5,0.9719658969125401,0.9719658465438529,600.0,600.0,600.0,600.0,600.0
110,,556577.0,552554.24,531769.65,340376.50103080977,354861.5,0.9719658969125401,0.9719658465438529,800.0,800.0,800.0,800.0,800.0
110,,556577.0,552554.24,531769.65,340376.50103080977,354861.5,0.9719658969125401,0.9719658465438529,1000.0,1000.0,1000.0,1000.0,1000.0
110,,556577.0,552554.24,531769.65,340376.50103080977,354861.5,0.9719658969125401,0.9719658465438529,1200.0,1200.0,1200.0,1200.0,1200.0
110,,556577.0,552554.24,531769.65,340376.50103080977,354861.5,0.9719658969125401,0.9719658465438529,1400.0,1400.0,1400.0,1400.0,1400.0
110,,556577.0,552554.24,531769.65,340376.50103080977,354861.5,0.9719658969125401,0.9719658465438529,1600.0,1600.0,1600.0,1600.0,1600.0
150,,556577.0,552554.24,531769.65,340376.50103080977,354861.5,0.9719658969125401,0.9719658465438529,200.0,200.0,200.0,200.0,200.0
150,,556577.0,552554.24,531769.65,340376.50103080977,354861.5,0.9719658969125401,0.9719658465438529,400.0,400.0,400.0,400.0,400.0
150,,556577.0,552554.24,531769.65,340376.50103080977,354861.5,0.9719658969125401,0.9719658465438529,600.0,600.0,600.0,600.0,600.0
150,,556577.0,552554.24,531769.65,340376.50103080977,354861.5,0.9719658969125401,0.9719658465438529,800.0,800.0,800.0,800.0,800.0
150,,556577.0,552554.24,531769.65,340376.50103080977,354861.5,0.9719658969125401,0.9719658465438529,1000.0,1000.0,1000.0,1000.0,1000.0
150,,556577.0,552554.24,531769.65,340376.50103080977,354861.5,0.9719658969125401,0.9719658465438529,1200.0,1200.0,1200.0,1200.0,1200.0
150,,556577.0,552554.24,531769.65,340376.50103080977,354861.5,0.9719658969125401,0.9719658465438529,1400.0,1400.0,1400.0,1400.0,1400.0
150,,556577.0,552554.24,531769.65,340376.50103080977,354861.5,0.9719658969125401,0.9719658465438529,1600.0,1600.0,1600.0,1600.0,1600.0
190,,556577.0,552554.24,531769.65,340376.50103080977,354861.5,0.9719658969125401,0.9719658465438529,200.0,200.0,200.0,200.0,200.0
190,,556577.0,552554.24,531769.65,340376.50103080977,354861.5,0.9719658969125401,0.9719658465438529,400.0,400.0,400.0,400.0,400.0
190,,556577.0,552554.24,531769.65,340376.50103080977,354861.5,0.9719658969125401,0.9719658465438529,600.0,600.0,600.0,600.0,600.0
190,,556577.0,552554.24,531769.65,340376.50103080977,354861.5,0.9719658969125401,0.9719658465438529,800.0,800.0,800.0,800.0,800.0
190,,556577.0,552554.24,531769.65,340376.50103080977,354861.5,0.9719658969125401,0.9719658465438529,1000.0,1000.0,1000.0,1000.0,1000.0
190,,556577.0,552554.24,531769.65,340376.50103080977,354861.5,0.9719658969125401,0.9719658465438529,1200.0,1200.0,1200.0,1200.0,1200.0
190,,556577.0,552554.24,531769.65,340376.50103080977,354861.5,0.9719658969125401,0.9719658465438529,1400.0,1400.0,1400.0,1400.0,1400.0
190,,556577.0,552554.24,531769.65,340376.50103080977,354861.5,0.9719658969125401,0.9719658465438529,1600.0,1600.0,1600.0,1600.0,1600.0
230,,556577.0,552554.24,531769.65,340376.50103080977,354861.5,0.9719658969125401,0.9719658465438529,200.0,200.0,200.0,200.0,200.0
230,,556577.0,552554.24,531769.65,340376.50103080977,354861.5,0.9719658969125401,0.9719658465438529,400.0,400.0,400.0,400.0,400.0
230,,556577.0,552554.24,531769.65,340376.50103080977,354861.5,0.9719658969125401,0.9719658465438529,600.0,600.0,600.0,600.0,600.0
