timeout,multiplier,max_packet,99_packet,95_packet,mean_packet,median_packet,all_hr,main_hr,max_cache,99_cache,95_cache,mean_cache,median_cache
10,,594.0,251.0,220.0,177.58701005288074,175.0,0.9039417669616784,,,,,,
30,,826.0,485.0,435.0,371.9451377690528,369.0,0.9272236967336894,,,,,,
50,,914.0,615.0,547.0,468.52842746592745,464.0,0.9351078056234512,,,,,,
70,,1058.0,719.0,633.0,538.2330985915493,532.0,0.9399859121008164,,,,,,
90,,1060.0,812.3499999999985,711.0,602.4780993654233,594.0,0.9424544877252544,,,,,,
110,,1182.0,902.0,784.0,661.3183770473028,652.0,0.9442024252667116,,,,,,
150,,1365.0,1081.0,912.0,765.2060760508533,752.0,0.946845929817455,,,,,,
190,,1612.0,1231.7699999999968,1010.0,844.9475146031382,828.0,0.9485891932075284,,,,,,
230,,1729.0,1376.0,1104.8499999999985,915.7985053258504,895.0,0.9499169645518144,,,,,,
270,,1886.0,1515.0,1193.0,981.0500801740923,957.0,0.950388466678208,,,,,,
310,,1997.0,1661.7699999999968,1283.0,1044.2329343717788,1016.0,0.9509316939437942,,,,,,
390,,2328.0,1902.0,1452.0,1155.9698201809645,1121.0,0.9514804114061306,,,,,,
470,,2666.0,2121.0,1616.0,1256.8363303172603,1214.0,0.9521294131045154,,,,,,
550,,2916.0,2355.0,1770.0,1349.4926125300653,1300.0,0.9525743708851542,,,,,,
630,,3242.0,2579.769999999997,1911.0,1434.682539228038,1378.0,0.9530272869326416,,,,,,
710,,3558.0,2785.5399999999936,2039.8499999999985,1507.979068835185,1443.0,0.9534278194515052,,,,,,
790,,3934.0,2991.0,2157.0,1578.6817088535104,1507.0,0.9536612787353246,,,,,,
870,,4282.0,3194.0,2272.0,1649.0084755469018,1570.0,0.9538122339615612,,,,,,
950,,4590.0,3364.769999999997,2387.0,1715.9650097354254,1630.0,0.9539979436442888,,,,,,
1030,,4870.0,3543.0,2505.8499999999985,1779.9396403619287,1686.0,0.954118425760124,,,,,,
1110,,5073.0,3723.769999999997,2631.0,1845.236055434658,1745.0,0.9542104998854364,,,,,,
